Time,Rad_GHI,Rad_DNI,Tamb,Caudal_salida_vapor_kgh,Potencia_kW,P_salida_barg,T_salida_C
00:00:00,1.08,0,28.24,0,0,2.26,136.63
00:01:00,1.06,0,28.24,0,0,2.25,136.56
00:02:00,1.06,0,28.27,0,0,2.24,136.49
00:03:00,1.03,0,28.33,0,0,2.24,136.43
00:04:00,1.08,0,28.35,0,0,2.23,136.36
00:05:00,1.03,0,28.4,0,0,2.23,136.29
00:06:00,1.08,0,28.5,0,0,2.22,136.22
00:07:00,1.08,0,28.6,0,0,2.22,136.15
00:08:00,1.06,0,28.64,0,0,2.21,136.08
00:09:00,1.06,0,28.56,0,0,2.21,136.03
00:10:00,1.06,0,28.4,0,0,2.2,135.95
00:11:00,1.08,0,28.24,0,0,2.19,135.88
00:12:00,1.08,0,28.15,0,0,2.18,135.82
00:13:00,1.06,0,28.1,0,0,2.18,135.75
00:14:00,1.06,0,28.03,0,0,2.17,135.68
00:15:00,1.06,0,28.04,0,0,2.17,135.62
00:16:00,1.06,0,28.09,0,0,2.16,135.62
00:17:00,1.06,0,28.07,0,0,2.16,135.47
00:18:00,1.06,0,28.03,0,0,2.14,135.47
00:19:00,1.06,0,28.06,0,0,2.14,135.39
00:20:00,1.03,0,28.04,0,0,2.14,135.32
00:21:00,1.06,0,27.86,0,0,2.13,135.27
00:22:00,1.03,0,27.8,0,0,2.13,135.2
00:23:00,1.06,0,27.86,0,0,2.11,135.13
00:24:00,1.06,0,27.93,0,0,2.11,135.07
00:25:00,1.06,0,27.95,0,0,2.11,134.99
00:26:00,1.06,0,27.96,0,0,2.1,134.93
00:27:00,1.03,0,28,0,0,2.1,134.86
00:28:00,1.03,0,28.03,0,0,2.1,134.8
00:29:00,1.06,0,28.01,0,0,2.08,134.72
00:30:00,1.01,0,27.94,0,0,2.08,134.72
00:31:00,1.03,0,27.9,0,0,2.08,134.66
00:32:00,1.06,0,27.94,0,0,2.07,134.53
00:33:00,1.03,0,27.96,0,0,2.07,134.53
00:34:00,1.03,0,27.95,0,0,2.06,134.46
00:35:00,1.06,0,27.94,0,0,2.06,134.39
00:36:00,1.03,0,27.92,0,0,2.05,134.32
00:37:00,1.06,0,27.88,0,0,2.04,134.26
00:38:00,1.03,0,27.85,0,0,2.04,134.19
00:39:00,1.03,0,27.78,0,0,2.03,134.12
00:40:00,1.01,0,27.67,0,0,2.02,134.05
00:41:00,1.03,0,27.59,0,0,2.02,133.99
00:42:00,1.03,0,27.54,0,0,2.01,133.93
00:43:00,1.03,0,27.5,0,0,2.01,133.87
00:44:00,1.03,0,27.47,0,0,2,133.8
00:45:00,1.01,0,27.42,0,0,2,133.74
00:46:00,1.03,0,27.34,0,0,1.99,133.74
00:47:00,1.03,0,27.26,0,0,1.98,133.61
00:48:00,1.01,0,27.26,0,0,1.98,133.53
00:49:00,1.03,0,27.26,0,0,1.98,133.53
00:50:00,1.03,0,27.28,0,0,1.97,133.47
00:51:00,1.03,0,27.28,0,0,1.96,133.39
00:52:00,1.03,0,27.23,0,0,1.97,133.33
00:53:00,1.03,0,27.19,0,0,1.96,133.26
00:54:00,1.03,0,27.23,0,0,1.96,133.19
00:55:00,1.03,0,27.24,0,0,1.94,133.14
00:56:00,1.03,0,27.24,0,0,1.94,133.07
00:57:00,1.01,0,27.23,0,0,1.93,133
00:58:00,1.03,0,27.23,0,0,1.93,132.93
00:59:00,1.06,0,27.25,0,0,1.92,132.86
01:00:00,1.03,0,27.2,0,0,1.92,132.81
01:01:00,1.03,0,27.14,0,0,1.91,132.75
01:02:00,1.01,0,27.11,0,0,1.91,132.75
01:03:00,1.06,0,27.1,0,0,1.91,132.68
01:04:00,1.01,0,27.09,0,0,1.9,132.54
01:05:00,1.01,0,27.1,0,0,1.9,132.54
01:06:00,1.01,0,27.11,0,0,1.88,132.48
01:07:00,1.01,0,27.11,0,0,1.88,132.41
01:08:00,1.01,0,27.09,0,0,1.88,132.36
01:09:00,1.01,0,27.08,0,0,1.87,132.29
01:10:00,1.01,0,27.07,0,0,1.87,132.24
01:11:00,0.99,0,27.06,0,0,1.86,132.17
01:12:00,0.99,0,27.05,0,0,1.86,132.1
01:13:00,1.01,0,27.09,0,0,1.85,132.02
01:14:00,1.01,0,27.17,0,0,1.84,131.96
01:15:00,0.99,0,27.24,0,0,1.84,131.91
01:16:00,0.99,0,27.34,0,0,1.82,131.84
01:17:00,0.99,0,27.4,0,0,1.82,131.78
01:18:00,1.01,0,27.46,0,0,1.82,131.71
01:19:00,0.99,0,27.5,0,0,1.81,131.64
01:20:00,0.96,0,27.55,0,0,1.81,131.64
01:21:00,0.99,0,27.54,0,0,1.81,131.57
01:22:00,0.99,0,27.44,0,0,1.8,131.51
01:23:00,0.99,0,27.38,0,0,1.8,131.43
01:24:00,0.99,0,27.26,0,0,1.8,131.38
01:25:00,0.99,0,27.14,0,0,1.79,131.32
01:26:00,0.99,0,27.14,0,0,1.78,131.27
01:27:00,0.99,0,27.19,0,0,1.77,131.19
01:28:00,1.01,0,27.21,0,0,1.78,131.13
01:29:00,0.96,0,27.25,0,0,1.78,131.08
01:30:00,0.99,0,27.27,0,0,1.76,131
01:31:00,1.01,0,27.32,0,0,1.76,130.95
01:32:00,0.96,0,27.38,0,0,1.75,130.89
01:33:00,0.96,0,27.38,0,0,1.74,130.81
01:34:00,0.96,0,27.34,0,0,1.74,130.81
01:35:00,0.96,0,27.3,0,0,1.73,130.68
01:36:00,0.99,0,27.28,0,0,1.73,130.68
01:37:00,0.99,0,27.33,0,0,1.74,130.55
01:38:00,0.99,0,27.36,0,0,1.72,130.55
01:39:00,0.96,0,27.2,0,0,1.72,130.48
01:40:00,0.96,0,27.14,0,0,1.7,130.43
01:41:00,0.99,0,27.16,0,0,1.7,130.37
01:42:00,0.96,0,27.16,0,0,1.7,130.3
01:43:00,0.96,0,27.11,0,0,1.7,130.23
01:44:00,0.94,0,27.06,0,0,1.68,130.16
01:45:00,0.94,0,27.01,0,0,1.68,130.08
01:46:00,0.96,0,27,0,0,1.68,130.03
01:47:00,0.99,0,27.04,0,0,1.67,129.96
01:48:00,0.94,0,27.04,0,0,1.67,129.9
01:49:00,0.94,0,27.02,0,0,1.65,129.84
01:50:00,0.94,0,26.95,0,0,1.65,129.84
01:51:00,0.99,0,26.88,0,0,1.65,129.78
01:52:00,0.99,0,26.83,0,0,1.65,129.66
01:53:00,0.96,0,26.79,0,0,1.65,129.6
01:54:00,0.94,0,26.76,0,0,1.64,129.6
01:55:00,0.96,0,26.74,0,0,1.64,129.53
01:56:00,0.96,0,26.69,0,0,1.62,129.47
01:57:00,0.94,0,26.65,0,0,1.62,129.4
01:58:00,0.94,0,26.6,0,0,1.62,129.34
01:59:00,0.94,0,26.6,0,0,1.61,129.27
02:00:00,0.96,0,26.58,0,0,1.61,129.21
02:01:00,0.96,0,26.52,0,0,1.61,129.15
02:02:00,0.94,0,26.49,0,0,1.59,129.1
02:03:00,0.96,0,26.53,0,0,1.59,129.04
02:04:00,0.96,0,26.5,0,0,1.59,128.97
02:05:00,0.99,0,26.47,0,0,1.59,128.9
02:06:00,0.91,0,26.46,0,0,1.58,128.9
02:07:00,0.96,0,26.51,0,0,1.58,128.85
02:08:00,0.96,0,26.56,0,0,1.58,128.7
02:09:00,0.94,0,26.58,0,0,1.56,128.7
02:10:00,1.01,0,26.62,0,0,1.56,128.65
02:11:00,0.94,0,26.61,0,0,1.56,128.58
02:12:00,0.94,0,26.58,0,0,1.56,128.53
02:13:00,0.96,0,26.55,0,0,1.56,128.47
02:14:00,0.94,0,26.55,0,0,1.55,128.4
02:15:00,0.94,0,26.55,0,0,1.53,128.32
02:16:00,0.94,0,26.52,0,0,1.53,128.27
02:17:00,0.94,0,26.51,0,0,1.53,128.21
02:18:00,0.94,0,26.5,0,0,1.53,128.15
02:19:00,0.94,0,26.48,0,0,1.52,128.08
02:20:00,0.94,0,26.46,0,0,1.52,128.03
02:21:00,0.94,0,26.44,0,0,1.5,127.96
02:22:00,0.91,0,26.41,0,0,1.5,127.89
02:23:00,0.96,0,26.41,0,0,1.5,127.82
02:24:00,0.91,0,26.41,0,0,1.5,127.82
02:25:00,0.91,0,26.39,0,0,1.5,127.71
02:26:00,0.94,0,26.34,0,0,1.5,127.71
02:27:00,0.91,0,26.32,0,0,1.49,127.65
02:28:00,0.94,0,26.31,0,0,1.49,127.6
02:29:00,0.94,0,26.32,0,0,1.47,127.53
02:30:00,0.94,0,26.32,0,0,1.47,127.47
02:31:00,0.94,0,26.37,0,0,1.47,127.41
02:32:00,0.94,0,26.46,0,0,1.46,127.35
02:33:00,0.91,0,26.35,0,0,1.46,127.29
02:34:00,0.94,0,26.27,0,0,1.46,127.23
02:35:00,0.91,0,26.31,0,0,1.44,127.17
02:36:00,0.94,0,26.37,0,0,1.44,127.09
02:37:00,0.94,0,26.44,0,0,1.44,127.04
02:38:00,0.94,0,26.34,0,0,1.43,127.04
02:39:00,0.91,0,26.25,0,0,1.43,126.97
02:40:00,0.94,0,26.17,0,0,1.43,126.92
02:41:00,0.96,0,26.1,0,0,1.43,126.79
02:42:00,0.91,0,26.04,0,0,1.42,126.79
02:43:00,0.89,0,26.02,0,0,1.41,126.73
02:44:00,0.89,0,25.98,0,0,1.41,126.66
02:45:00,0.94,0,25.95,0,0,1.41,126.59
02:46:00,0.89,0,25.82,0,0,1.41,126.53
02:47:00,0.91,0,25.67,0,0,1.4,126.46
02:48:00,0.94,0,25.67,0,0,1.4,126.4
02:49:00,0.94,0,25.79,0,0,1.4,126.34
02:50:00,0.91,0,25.85,0,0,1.4,126.29
02:51:00,0.94,0,25.78,0,0,1.39,126.22
02:52:00,0.94,0,25.7,0,0,1.37,126.15
02:53:00,0.94,0,25.65,0,0,1.37,126.08
02:54:00,0.94,0,25.54,0,0,1.37,126.08
02:55:00,0.91,0,25.44,0,0,1.36,126.03
02:56:00,0.91,0,25.4,0,0,1.36,125.97
02:57:00,0.91,0,25.34,0,0,1.36,125.83
02:58:00,0.91,0,25.29,0,0,1.36,125.83
02:59:00,0.94,0,25.28,0,0,1.35,125.77
03:00:00,0.91,0,25.26,0,0,1.35,125.69
03:01:00,0.91,0,25.27,0,0,1.35,125.63
03:02:00,0.91,0,25.32,0,0,1.34,125.55
03:03:00,0.91,0,25.37,0,0,1.33,125.51
03:04:00,0.94,0,25.4,0,0,1.33,125.45
03:05:00,0.91,0,25.4,0,0,1.33,125.38
03:06:00,0.91,0,25.33,0,0,1.32,125.33
03:07:00,0.91,0,25.28,0,0,1.32,125.27
03:08:00,0.89,0,25.26,0,0,1.32,125.21
03:09:00,0.91,0,25.26,0,0,1.3,125.15
03:10:00,0.89,0,25.19,0,0,1.3,125.15
03:11:00,0.89,0,25.1,0,0,1.3,125.09
03:12:00,0.94,0,25.03,0,0,1.3,125.01
03:13:00,0.89,0,24.99,0,0,1.29,124.89
03:14:00,0.91,0,24.99,0,0,1.29,124.89
03:15:00,0.86,0,24.98,0,0,1.29,124.83
03:16:00,0.94,0,24.98,0,0,1.29,124.77
03:17:00,0.89,0,24.99,0,0,1.27,124.71
03:18:00,0.86,0,25.05,0,0,1.27,124.66
03:19:00,0.89,0,25.13,0,0,1.28,124.59
03:20:00,0.86,0,25.18,0,0,1.27,124.53
03:21:00,0.89,0,25.21,0,0,1.26,124.48
03:22:00,0.86,0,25.21,0,0,1.26,124.41
03:23:00,0.86,0,25.14,0,0,1.26,124.34
03:24:00,0.86,0,25.08,0,0,1.25,124.28
03:25:00,0.89,0,25.03,0,0,1.25,124.22
03:26:00,0.84,0,25.04,0,0,1.24,124.16
03:27:00,0.89,0,25.07,0,0,1.24,124.16
03:28:00,0.89,0,25.15,0,0,1.24,124.04
03:29:00,0.86,0,25.21,0,0,1.24,124.04
03:30:00,0.84,0,25.25,0,0,1.22,123.98
03:31:00,0.86,0,25.31,0,0,1.21,123.92
03:32:00,0.86,0,25.33,0,0,1.21,123.85
03:33:00,0.84,0,25.31,0,0,1.21,123.8
03:34:00,0.86,0,25.22,0,0,1.2,123.73
03:35:00,0.86,0,25.16,0,0,1.2,123.68
03:36:00,0.84,0,25.13,0,0,1.2,123.62
03:37:00,0.86,0,25.14,0,0,1.2,123.56
03:38:00,0.86,0,25.08,0,0,1.19,123.48
03:39:00,0.84,0,25.06,0,0,1.18,123.41
03:40:00,0.86,0,25.06,0,0,1.18,123.34
03:41:00,0.84,0,25.05,0,0,1.18,123.29
03:42:00,0.84,0,25.05,0,0,1.18,123.29
03:43:00,0.86,0,24.99,0,0,1.18,123.23
03:44:00,0.84,0,24.97,0,0,1.17,123.16
03:45:00,0.84,0,24.94,0,0,1.17,123.04
03:46:00,0.84,0,24.93,0,0,1.16,123.04
03:47:00,0.84,0,24.95,0,0,1.16,122.99
03:48:00,0.84,0,24.99,0,0,1.15,122.93
03:49:00,0.84,0,24.96,0,0,1.15,122.86
03:50:00,0.84,0,24.9,0,0,1.14,122.8
03:51:00,0.86,0,24.89,0,0,1.14,122.73
03:52:00,0.84,0,24.87,0,0,1.13,122.68
03:53:00,0.86,0,24.82,0,0,1.13,122.61
03:54:00,0.81,0,24.75,0,0,1.13,122.54
03:55:00,0.84,0,24.79,0,0,1.12,122.46
03:56:00,0.84,0,24.8,0,0,1.12,122.41
03:57:00,0.84,0,24.81,0,0,1.12,122.35
03:58:00,0.84,0,24.86,0,0,1.1,122.35
03:59:00,0.84,0,24.88,0,0,1.1,122.29
04:00:00,0.81,0,24.84,0,0,1.11,122.17
04:01:00,0.89,0,24.82,0,0,1.11,122.11
04:02:00,0.86,0,24.84,0,0,1.1,122.11
04:03:00,0.84,0,24.84,0,0,1.1,122.06
04:04:00,0.81,0,24.82,0,0,1.09,121.99
04:05:00,0.84,0,24.81,0,0,1.09,121.92
04:06:00,0.86,0,24.8,0,0,1.08,121.86
04:07:00,0.84,0,24.8,0,0,1.08,121.81
04:08:00,0.84,0,24.79,0,0,1.08,121.76
04:09:00,0.84,0,24.77,0,0,1.08,121.7
04:10:00,0.84,0,24.74,0,0,1.06,121.64
04:11:00,0.81,0,24.73,0,0,1.06,121.59
04:12:00,0.81,0,24.72,0,0,1.06,121.54
04:13:00,0.81,0,24.69,0,0,1.06,121.47
